"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths
	"Alabama"	"01"	"Autauga County, AL"	"01001"	57
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	263
	"Alabama"	"01"	"Barbour County, AL"	"01005"	32
	"Alabama"	"01"	"Bibb County, AL"	"01007"	19
	"Alabama"	"01"	"Blount County, AL"	"01009"	68
	"Alabama"	"01"	"Bullock County, AL"	"01011"	10
	"Alabama"	"01"	"Butler County, AL"	"01013"	27
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	153
	"Alabama"	"01"	"Chambers County, AL"	"01017"	44
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	45
	"Alabama"	"01"	"Chilton County, AL"	"01021"	48
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	27
	"Alabama"	"01"	"Clarke County, AL"	"01025"	33
	"Alabama"	"01"	"Clay County, AL"	"01027"	22
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	24
	"Alabama"	"01"	"Coffee County, AL"	"01031"	52
	"Alabama"	"01"	"Colbert County, AL"	"01033"	80
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	25
	"Alabama"	"01"	"Coosa County, AL"	"01037"	18
	"Alabama"	"01"	"Covington County, AL"	"01039"	71
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	21
	"Alabama"	"01"	"Cullman County, AL"	"01043"	136
	"Alabama"	"01"	"Dale County, AL"	"01045"	60
	"Alabama"	"01"	"Dallas County, AL"	"01047"	54
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	79
	"Alabama"	"01"	"Elmore County, AL"	"01051"	113
	"Alabama"	"01"	"Escambia County, AL"	"01053"	70
	"Alabama"	"01"	"Etowah County, AL"	"01055"	138
	"Alabama"	"01"	"Fayette County, AL"	"01057"	18
	"Alabama"	"01"	"Franklin County, AL"	"01059"	40
	"Alabama"	"01"	"Geneva County, AL"	"01061"	55
	"Alabama"	"01"	"Greene County, AL"	"01063"	19
	"Alabama"	"01"	"Hale County, AL"	"01065"	17
	"Alabama"	"01"	"Henry County, AL"	"01067"	29
	"Alabama"	"01"	"Houston County, AL"	"01069"	142
	"Alabama"	"01"	"Jackson County, AL"	"01071"	86
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	693
	"Alabama"	"01"	"Lamar County, AL"	"01075"	16
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	128
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	44
	"Alabama"	"01"	"Lee County, AL"	"01081"	115
	"Alabama"	"01"	"Limestone County, AL"	"01083"	128
	"Alabama"	"01"	"Lowndes County, AL"	"01085"	11
	"Alabama"	"01"	"Macon County, AL"	"01087"	15
	"Alabama"	"01"	"Madison County, AL"	"01089"	360
	"Alabama"	"01"	"Marengo County, AL"	"01091"	26
	"Alabama"	"01"	"Marion County, AL"	"01093"	43
	"Alabama"	"01"	"Marshall County, AL"	"01095"	127
	"Alabama"	"01"	"Mobile County, AL"	"01097"	537
	"Alabama"	"01"	"Monroe County, AL"	"01099"	27
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	214
	"Alabama"	"01"	"Morgan County, AL"	"01103"	175
	"Alabama"	"01"	"Perry County, AL"	"01105"	21
	"Alabama"	"01"	"Pickens County, AL"	"01107"	27
	"Alabama"	"01"	"Pike County, AL"	"01109"	26
	"Alabama"	"01"	"Randolph County, AL"	"01111"	37
	"Alabama"	"01"	"Russell County, AL"	"01113"	53
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	116
	"Alabama"	"01"	"Shelby County, AL"	"01117"	209
	"Alabama"	"01"	"Sumter County, AL"	"01119"	14
	"Alabama"	"01"	"Talladega County, AL"	"01121"	100
	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	64
