
"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"2023 "	"2023"	679
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"2023 "	"2023"	767
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	"2023 "	"2023"	197
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Middlesex County, CT"	"09007"	"2023 "	"2023"	177
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"2023 "	"2023"	776
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"New London County, CT"	"09011"	"2023 "	"2023"	213
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Tolland County, CT"	"09013"	"2023 "	"2023"	115
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Windham County, CT"	"09015"	"2023 "	"2023"	96
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Androscoggin County, ME"	"23001"	"2023 "	"2023"	135
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Aroostook County, ME"	"23003"	"2023 "	"2023"	105
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Cumberland County, ME"	"23005"	"2023 "	"2023"	276
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Franklin County, ME"	"23007"	"2023 "	"2023"	34
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Hancock County, ME"	"23009"	"2023 "	"2023"	72
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Kennebec County, ME"	"23011"	"2023 "	"2023"	150
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Knox County, ME"	"23013"	"2023 "	"2023"	52
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Lincoln County, ME"	"23015"	"2023 "	"2023"	35
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Oxford County, ME"	"23017"	"2023 "	"2023"	58
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Penobscot County, ME"	"23019"	"2023 "	"2023"	181
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Piscataquis County, ME"	"23021"	"2023 "	"2023"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Sagadahoc County, ME"	"23023"	"2023 "	"2023"	31
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Somerset County, ME"	"23025"	"2023 "	"2023"	66
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Waldo County, ME"	"23027"	"2023 "	"2023"	53
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"Washington County, ME"	"23029"	"2023 "	"2023"	49
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"York County, ME"	"23031"	"2023 "	"2023"	211
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Barnstable County, MA"	"25001"	"2023 "	"2023"	297
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Berkshire County, MA"	"25003"	"2023 "	"2023"	135
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Bristol County, MA"	"25005"	"2023 "	"2023"	501
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Dukes County, MA"	"25007"	"2023 "	"2023"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Essex County, MA"	"25009"	"2023 "	"2023"	623
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Franklin County, MA"	"25011"	"2023 "	"2023"	62
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Hampden County, MA"	"25013"	"2023 "	"2023"	407
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Hampshire County, MA"	"25015"	"2023 "	"2023"	137
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	"2023 "	"2023"	1065
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Nantucket County, MA"	"25019"	"2023 "	"2023"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"	"2023 "	"2023"	564
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Plymouth County, MA"	"25023"	"2023 "	"2023"	472
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	"2023 "	"2023"	340
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"Worcester County, MA"	"25027"	"2023 "	"2023"	618
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Belknap County, NH"	"33001"	"2023 "	"2023"	90
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Carroll County, NH"	"33003"	"2023 "	"2023"	58
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Cheshire County, NH"	"33005"	"2023 "	"2023"	77
	"Census Region 1: Northeast"	"CENS-R1"	"New Hampshire"	"33"	"Coos County, NH"	"33007"	"2023 "	"2023"	54
